Article_ID,Article_ID2,Country,Disease_name,Disease_name2,Disease,PMID,First Author,Publication Year,DOI,Combining Authoryear (withformula),Authoryear,Ncases,Ncontrol,total,genus,Genus_mean_RA_disease,Genus_mean_RA_control,foldchange(calculation),foldchange,pvalue,,logEffectSize,logStandardError,logStandardDeviation,logLLCI,logULCI,EffectSize,LLCI,ULCI,,,,,Age_disease,Age_control,Sequencing_type,16s_sequencing_region,Genus(original_,Genus_clean (original,Genus_classified,Genus_RA_in_disease,Genus_>1_studies(cancer_or_autoimmune),Genus_increased_HowMany_Cancer_study,Genus_decreased_HowMany_Cancer_study,Genus_increased_HowMany_Autoimmune_study,Genus_decreased_HowMany_Autoimmune_study,Genus_statistical_test,Genus_mean_RA_disease(original),Genus_mean_RA_control (original),Genus_effect_type,Genus_effect_type_quanititative_value,Genus_quantitative_data_source_in_paper,Genus_Pvalue(original)
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Faecalicoccus,178.582811,7.90476,22.591805,22.5918,0.00000010790717361,11,3.117587009,0.57651893,3.73626969,1.98763067,4.247543347,22.5918,7.298221368,69.93339905,,,,,47.3 years,32.4 years,16s,v4,Faecalicoccus,Faecalicoccus,yes,increased,no,0,0,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",178.5828115,7.904760664,not mentioned,not mentioned,,1.08E-07
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Butyricicoccus,17.360361,154.14674,0.112622305,0.1126,0.00000394658110487,12,-2.183913563,0.467176274,3.02764829,-3.099562234,-1.268264892,0.1126,0.045068928,0.281319318,,,,,47.3 years,32.4 years,16s,v4,Butyricicoccus,Butyricicoccus,yes,decreased,yes,0,2,0,4,"Kruskal-Wallis (adjusted p value), mean abundance",17.36036087,154.1467369,not mentioned,not mentioned,,3.95E-06
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Eggerthella,418.246609,66.23747,6.314350998,6.3144,0.00001420560628739,13,1.842832739,0.419846676,2.720917442,1.019948375,2.665717104,6.3144,2.773051601,14.37825655,,,,,47.3 years,32.4 years,16s,v4,Eggerthella,Eggerthella,yes,increased,yes,0,0,3,0,"Kruskal-Wallis (adjusted p value), mean abundance",418.2466093,66.23746597,not mentioned,not mentioned,,1.42E-05
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Anaerofustis,20.906994,5.67705,3.682724245,3.6827,0.00001623459748550,14,1.303646179,0.299093992,1.938350604,0.717432727,1.88985963,3.6827,2.049165685,6.618439588,,,,,47.3 years,32.4 years,16s,v4,Anaerofustis,Anaerofustis,yes,increased,no,0,0,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",20.9069945,5.677045879,not mentioned,not mentioned,,1.62E-05
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Clostridium III,92.643271,11.44223,8.096611615,8.0966,0.00001649609087201,15,2.09144422,0.480243055,3.112330713,1.150185128,3.032703312,8.0966,3.158777635,20.75325937,,,,,47.3 years,32.4 years,16s,v4,Clostridium_III,Clostridium III,yes,increased,no,0,0,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",92.64327138,11.44222741,not mentioned,not mentioned,,1.65E-05
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Clostridium XlVa,854.557880,180.16046,4.743315478,4.7433,0.00001867983185345,16,1.556733096,0.359834507,2.331994134,0.851470422,2.26199577,4.7433,2.343089651,9.602233906,,,,,47.3 years,32.4 years,16s,v4,Clostridium_XlVa,Clostridium XlVa,yes,increased,no,0,1,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",854.5578796,180.160456,not mentioned,not mentioned,,1.87E-05
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Ruminococcaceae_unclassified,448.366285,850.00072,0.527489299,0.5275,0.00058999403888113,17,-0.639606414,0.18524159,1.200502712,-1.002673259,-0.276539569,0.5275,0.366897318,0.75840361,,,,,47.3 years,32.4 years,16s,v4,Ruminococcaceae_unclassified,Ruminococcaceae_unclassified,no,decreased,yes,4,1,1,8,"Kruskal-Wallis (adjusted p value), mean abundance",448.3662854,850.0007234,not mentioned,not mentioned,,0.000589994
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Alistipes,13.516536,69.80781,0.193624982,0.1936,0.00079786649636729,18,-1.641961104,0.487531822,3.15956732,-2.597505917,-0.686416292,0.1936,0.074459054,0.503376796,,,,,47.3 years,32.4 years,16s,v4,Alistipes,Alistipes,yes,decreased,yes,1,3,1,3,"Kruskal-Wallis (adjusted p value), mean abundance",13.51653552,69.80780794,not mentioned,not mentioned,,0.000797866
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Faecalibacterium,2086.450173,3584.36741,0.582097183,0.5821,0.00099381879953486,19,-0.541113025,0.163724027,1.061052964,-0.862006221,-0.220219829,0.5821,0.422313977,0.802342401,,,,,47.3 years,32.4 years,16s,v4,Faecalibacterium,Faecalibacterium,yes,decreased,yes,1,5,2,7,"Kruskal-Wallis (adjusted p value), mean abundance",2086.450173,3584.367413,not mentioned,not mentioned,,0.000993819
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Alloscardovia,2.069865,0.29264,7.073066391,7.0731,0.00261993687879849,20,1.956298856,0.648780374,4.204577372,0.68471269,3.227885023,7.0731,1.98320196,25.22624757,,,,,47.3 years,32.4 years,16s,v4,Alloscardovia,Alloscardovia,yes,increased,no,0,0,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",2.069865275,0.292640442,not mentioned,not mentioned,,0.002619937
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Actinomyces,80.040610,40.90677,1.956659212,1.9567,0.00445494104972938,21,0.671259381,0.235767151,1.527945768,0.209164257,1.133354505,1.9567,1.232647453,3.106058331,,,,,47.3 years,32.4 years,16s,v4,Actinomyces,Actinomyces,yes,increased,yes,2,0,4,1,"Kruskal-Wallis (adjusted p value), mean abundance",80.04061038,40.90677103,not mentioned,not mentioned,,0.004454941
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Parabacteroides,11.831256,24.59193,0.481103179,0.4811,0.00578091309764303,22,-0.73168013,0.264937306,1.716989984,-1.250947709,-0.212412552,0.4811,0.286233402,0.808631027,,,,,47.3 years,32.4 years,16s,v4,Parabacteroides,Parabacteroides,yes,decreased,yes,4,1,2,4,"Kruskal-Wallis (adjusted p value), mean abundance",11.83125595,24.59193053,not mentioned,not mentioned,,0.005780913
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Lachnospira,10.682626,28.96651,0.368792341,0.3688,0.00720336862687370,23,-0.997500787,0.371095435,2.404973287,-1.724834474,-0.2701671,0.3688,0.178202546,0.763251944,,,,,47.3 years,32.4 years,16s,v4,Lachnospira,Lachnospira,yes,decreased,yes,1,3,1,3,"Kruskal-Wallis (adjusted p value), mean abundance",10.68262567,28.9665063,not mentioned,not mentioned,,0.007203369
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Fusicatenibacter,634.382485,1380.39071,0.459567337,0.4596,0.00807823021085127,24,-0.777398733,0.29347268,1.901920341,-1.352594616,-0.20220285,0.4596,0.258568503,0.816929197,,,,,47.3 years,32.4 years,16s,v4,Fusicatenibacter,Fusicatenibacter,yes,decreased,yes,2,2,0,2,"Kruskal-Wallis (adjusted p value), mean abundance",634.3824851,1380.390714,not mentioned,not mentioned,,0.00807823
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Streptococcus,3976.802208,1116.69132,3.561236802,3.5612,0.00906490549807036,25,1.270097567,0.486760189,3.154566568,0.316065127,2.224130006,3.5612,1.371719589,9.245435834,,,,,47.3 years,32.4 years,16s,v4,Streptococcus,Streptococcus,yes,increased,yes,4,1,6,1,"Kruskal-Wallis (adjusted p value), mean abundance",3976.802208,1116.691315,not mentioned,not mentioned,,0.009064905
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Olsenella,2.526604,0.85741,2.94677838,2.9468,0.01032386454803760,26,1.080719836,0.421504067,2.731658563,0.254587045,1.906852627,2.9468,1.289928828,6.731867722,,,,,47.3 years,32.4 years,16s,v4,Olsenella,Olsenella,yes,increased,yes,0,0,2,0,"Kruskal-Wallis (adjusted p value), mean abundance",2.526603682,0.857412182,not mentioned,not mentioned,,0.010323865
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Sporobacter,10.501093,32.67383,0.321391582,0.3214,0.01055055212178090,27,-1.135068826,0.444022521,2.87759482,-2.005336974,-0.264800677,0.3214,0.134614926,0.767358887,,,,,47.3 years,32.4 years,16s,v4,Sporobacter,Sporobacter,yes,decreased,no,0,1,1,1,"Kruskal-Wallis (adjusted p value), mean abundance",10.5010931,32.6738275,not mentioned,not mentioned,,0.010550552
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Holdemania,0.963146,2.24056,0.429868622,0.4299,0.01074380345400150,28,-0.844202655,0.33106724,2.145560934,-1.493082522,-0.195322789,0.4299,0.224679009,0.822569099,,,,,47.3 years,32.4 years,16s,v4,Holdemania,Holdemania,yes,decreased,yes,3,0,1,1,"Kruskal-Wallis (adjusted p value), mean abundance",0.963145715,2.240558314,not mentioned,not mentioned,,0.010743803
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Dialister,5.497409,117.11825,0.04693896,0.0469,0.01184757771648150,29,-3.059737604,1.216442943,7.883451288,-5.443921961,-0.675553246,0.0469,0.004322497,0.50887481,,,,,47.3 years,32.4 years,16s,v4,Dialister,Dialister,yes,decreased,yes,1,0,2,4,"Kruskal-Wallis (adjusted p value), mean abundance",5.497408649,117.1182451,not mentioned,not mentioned,,0.011847578
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Gemmiger,1513.536891,1770.52990,0.854849666,0.8548,0.01780511184210910,30,-0.156887756,0.066279014,0.429537103,-0.286792236,-0.026983275,0.8548,0.750667675,0.973377521,,,,,47.3 years,32.4 years,16s,v4,Gemmiger,Gemmiger,yes,decreased,yes,0,0,0,2,"Kruskal-Wallis (adjusted p value), mean abundance",1513.536891,1770.529897,not mentioned,not mentioned,,0.017805112
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Enterococcus,80.654263,40.02580,2.01505688,2.0151,0.01916802638503560,31,0.700668822,0.299494239,1.940944503,0.1136709,1.287666744,2.0151,1.120383346,3.624320215,,,,,47.3 years,32.4 years,16s,v4,Enterococcus,Enterococcus,yes,increased,yes,5,0,2,5,"Kruskal-Wallis (adjusted p value), mean abundance",80.65426252,40.02579943,not mentioned,not mentioned,,0.019168026
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Clostridiales_Incertae_Sedis_XIII_unclassified,213.275738,45.91705,4.64480482,4.6448,0.02190286684336570,32,1.535748314,0.670915473,4.348029209,0.220778151,2.850718478,4.6448,1.247046744,17.30020719,,,,,47.3 years,32.4 years,16s,v4,Clostridiales_Incertae_Sedis_XIII_unclassified,Clostridiales_Incertae_Sedis_XIII_unclassified,no,increased,no,0,0,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",213.2757379,45.91705059,not mentioned,not mentioned,,0.021902867
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Erysipelotrichaceae_unclassified,81.328988,15.65592,5.194776413,5.1948,0.02213296209160740,33,1.647658125,0.721061566,4.673013035,0.234403426,3.060912825,5.1948,1.264154382,21.34703437,,,,,47.3 years,32.4 years,16s,v4,Erysipelotrichaceae_unclassified,Erysipelotrichaceae_unclassified,no,increased,yes,3,0,1,1,"Kruskal-Wallis (adjusted p value), mean abundance",81.32898807,15.65591694,not mentioned,not mentioned,,0.022132962
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Bilophila,0.508385,2.20000,0.231084209,0.2311,0.02232071285202140,34,-1.464904762,0.641990462,4.160573713,-2.723182945,-0.206626578,0.2311,0.065665412,0.813323306,,,,,47.3 years,32.4 years,16s,v4,Bilophila,Bilophila,yes,decreased,yes,3,2,1,1,"Kruskal-Wallis (adjusted p value), mean abundance",0.508385101,2.199999317,not mentioned,not mentioned,,0.022320713
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Phascolarctobacterium,7.466957,11.40994,0.654425745,0.6544,0.02578102155160630,35,-0.424036494,0.190473626,1.234410179,-0.79735794,-0.050715047,0.6544,0.450517688,0.950549494,,,,,47.3 years,32.4 years,16s,v4,Phascolarctobacterium,Phascolarctobacterium,yes,decreased,yes,1,2,0,3,"Kruskal-Wallis (adjusted p value), mean abundance",7.466956787,11.4099374,not mentioned,not mentioned,,0.025781022
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Elizabethkingia,1.687877,0.63873,2.642566722,2.6426,0.02731501049317470,36,0.971763281,0.440980371,2.85787944,0.107457635,1.836068927,2.6426,1.113443689,6.271834697,,,,,47.3 years,32.4 years,16s,v4,Elizabethkingia,Elizabethkingia,yes,increased,no,0,0,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",1.687877427,0.638726513,not mentioned,not mentioned,,0.02731501
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Firmicutes_unclassified,353.059170,137.10697,2.575063709,2.5751,0.03533334832162070,37,0.945888368,0.450207562,2.917678467,0.063497762,1.828278975,2.5751,1.065557101,6.223167208,,,,,47.3 years,32.4 years,16s,v4,Firmicutes_unclassified,Firmicutes_unclassified,no,increased,no,0,0,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",353.0591701,137.1069651,not mentioned,not mentioned,,0.035333348
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Turicibacter,337.519906,176.36936,1.913710568,1.9137,0.03933281728381500,38,0.649038541,0.315499111,2.044667931,0.030671646,1.267405436,1.9137,1.031146867,3.551625679,,,,,47.3 years,32.4 years,16s,v4,Turicibacter,Turicibacter,yes,increased,yes,2,0,1,2,"Kruskal-Wallis (adjusted p value), mean abundance",337.5199065,176.3693591,not mentioned,not mentioned,,0.039332817
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Subdoligranulum,90.923210,188.78618,0.481620055,0.4816,0.04021349419927620,39,-0.730641385,0.35675009,2.31200483,-1.429858714,-0.031424056,0.4816,0.239342736,0.969064548,,,,,47.3 years,32.4 years,16s,v4,Subdoligranulum,Subdoligranulum,yes,decreased,yes,3,2,1,1,"Kruskal-Wallis (adjusted p value), mean abundance",90.92320959,188.7861784,not mentioned,not mentioned,,0.040213494
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Ruminococcus,2828.101695,1324.69635,2.134905636,2.1349,0.04187523057517590,40,0.758419807,0.373371377,2.419723076,0.026625356,1.490214258,2.1349,1.026982978,4.438046305,,,,,47.3 years,32.4 years,16s,v4,Ruminococcus,Ruminococcus,yes,increased,yes,6,3,6,1,"Kruskal-Wallis (adjusted p value), mean abundance",2828.101695,1324.696346,not mentioned,not mentioned,,0.041875231
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Atopobium,3.509386,2.01453,1.742036754,1.7420,0.04345864447058360,41,0.555033878,0.275339838,1.784406093,0.015377713,1.094690044,1.742,1.015496558,2.988256312,,,,,47.3 years,32.4 years,16s,v4,Atopobium,Atopobium,yes,increased,yes,2,1,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",3.509385944,2.014530368,not mentioned,not mentioned,,0.043458644
Article_0074,Article_0074,Canada,Rheumatoid Arthritis,Arthritis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",21,23,44,Faecalicoccus,571.436962,7.90476,72.2902294,72.2902,0.00000001164563542,42,4.280688574,0.735409955,4.878157779,2.839311547,5.7220656,72.2902,17.10398619,305.5353855,,,,,62.3 years,32.4 years,16s,v4,Faecalicoccus,Faecalicoccus,yes,increased,no,0,0,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",571.4369618,7.904760664,not mentioned,not mentioned,,1.16E-08
,Article_0074,Canada,Rheumatoid arthritis,Arthritis,Autoimmune,30545402,Forbes JD,2019,10.1186/s40168-018-0603-5,"Forbes JD, 2019","Forbes JD, 2019",21,23,44,Streptococcus,9154.987673,1116.69132,8.19831546,8.1983,0.00000427100375251,43,2.103926816,0.4517256,2.99640865,1.218560908,2.989292723,8.1983,3.382316764,19.87162279,,,,,62.3 years,32.4 years,16s,v5,Streptococcus,Streptococcus,yes,increased,yes,4,1,6,1,"Kruskal-Wallis (adjusted p value), mean abundance",9154.987673,1116.691315,not mentioned,not mentioned,,4.27E-06
,Article_0074,Canada,Rheumatoid arthritis,Arthritis,Autoimmune,30545403,Forbes JD,2020,10.1186/s40168-018-0603-6,"Forbes JD, 2020","Forbes JD, 2020",21,23,44,Actinomyces,162.364030,40.90677,3.969123583,3.9691,0.00000584035616883,44,1.378539369,0.300403662,1.992652464,0.789759011,1.967319727,3.9691,2.202865495,7.151482849,,,,,62.3 years,32.4 years,16s,v6,Actinomyces,Actinomyces,yes,increased,yes,2,0,4,1,"Kruskal-Wallis (adjusted p value), mean abundance",162.3640296,40.90677103,not mentioned,not mentioned,,5.84E-06
